Episode 1/2000 | Reward: -23.08 | Epsilon: 1.00
Episode 83/2000 | Reward: -30.92 | Epsilon: 0.78
Episode 84/2000 | Reward: -15.13 | Epsilon: 0.78
Episode 85/2000 | Reward: -17.46 | Epsilon: 0.77
Episode 86/2000 | Reward: -109.59 | Epsilon: 0.77
Episode 87/2000 | Reward: -40.35 | Epsilon: 0.77
Episode 88/2000 | Reward: -21.50 | Epsilon: 0.77
Episode 89/2000 | Reward: -23.66 | Epsilon: 0.77
Episode 90/2000 | Reward: -10.51 | Epsilon: 0.76
Episode 91/2000 | Reward: -27.59 | Epsilon: 0.76
Episode 92/2000 | Reward: -47.01 | Epsilon: 0.76
Episode 93/2000 | Reward: 11.51 | Epsilon: 0.76
Episode 94/2000 | Reward: -22.54 | Epsilon: 0.75
Episode 95/2000 | Reward: -27.59 | Epsilon: 0.75
Episode 96/2000 | Reward: -49.95 | Epsilon: 0.75
Episode 97/2000 | Reward: -7.47 | Epsilon: 0.75
Episode 98/2000 | Reward: -48.10 | Epsilon: 0.74
Episode 99/2000 | Reward: -44.44 | Epsilon: 0.74
Episode 100/2000 | Reward: -114.66 | Epsilon: 0.74
WARNING:absl:You are saving your model as an HDF5 file via `model.save()` or `keras.saving.save_model(model)`. This file format is considered legacy. We recommend using instead the native Keras format, e.g. `model.save('my_model.keras')` or `keras.saving.save_model(model, 'my_model.keras')`.     
Checkpoint saved to ddqn_speed_100.h5
Episode 101/2000 | Reward: 5.93 | Epsilon: 0.74
Episode 102/2000 | Reward: -20.00 | Epsilon: 0.74
Episode 103/2000 | Reward: -27.84 | Epsilon: 0.73
Episode 104/2000 | Reward: -42.45 | Epsilon: 0.73
Episode 105/2000 | Reward: 9.97 | Epsilon: 0.73
Episode 106/2000 | Reward: -25.80 | Epsilon: 0.73
Episode 107/2000 | Reward: -53.57 | Epsilon: 0.73
Episode 108/2000 | Reward: -40.40 | Epsilon: 0.72
Episode 109/2000 | Reward: 39.05 | Epsilon: 0.72
Episode 110/2000 | Reward: -116.93 | Epsilon: 0.72
Episode 111/2000 | Reward: -93.52 | Epsilon: 0.72
Episode 112/2000 | Reward: 19.13 | Epsilon: 0.71
Episode 113/2000 | Reward: -23.57 | Epsilon: 0.71
Episode 114/2000 | Reward: -30.23 | Epsilon: 0.71
Episode 115/2000 | Reward: -50.70 | Epsilon: 0.71
Episode 116/2000 | Reward: -30.38 | Epsilon: 0.71
Episode 117/2000 | Reward: -19.41 | Epsilon: 0.70
Episode 118/2000 | Reward: -62.12 | Epsilon: 0.70
Episode 119/2000 | Reward: -23.88 | Epsilon: 0.70
Episode 120/2000 | Reward: -57.75 | Epsilon: 0.70
Episode 121/2000 | Reward: -16.67 | Epsilon: 0.70
Episode 122/2000 | Reward: -19.41 | Epsilon: 0.69
Episode 123/2000 | Reward: -57.52 | Epsilon: 0.69
Episode 124/2000 | Reward: -31.74 | Epsilon: 0.69
Episode 125/2000 | Reward: -35.48 | Epsilon: 0.69
Episode 126/2000 | Reward: -121.96 | Epsilon: 0.68
Episode 127/2000 | Reward: 17.02 | Epsilon: 0.68
Episode 128/2000 | Reward: -19.86 | Epsilon: 0.68
Episode 129/2000 | Reward: -47.57 | Epsilon: 0.68
Episode 130/2000 | Reward: -92.25 | Epsilon: 0.68
Episode 131/2000 | Reward: 14.80 | Epsilon: 0.67
Episode 132/2000 | Reward: -22.03 | Epsilon: 0.67
Episode 133/2000 | Reward: -55.88 | Epsilon: 0.67
Episode 134/2000 | Reward: -19.41 | Epsilon: 0.67
Episode 135/2000 | Reward: -28.34 | Epsilon: 0.67
Episode 136/2000 | Reward: -104.04 | Epsilon: 0.66
Episode 137/2000 | Reward: -37.69 | Epsilon: 0.66
Episode 138/2000 | Reward: -25.17 | Epsilon: 0.66
Episode 139/2000 | Reward: -39.39 | Epsilon: 0.66
Episode 140/2000 | Reward: -131.53 | Epsilon: 0.66
Episode 141/2000 | Reward: -62.12 | Epsilon: 0.65
Episode 142/2000 | Reward: -8.45 | Epsilon: 0.65
Episode 143/2000 | Reward: -28.32 | Epsilon: 0.65
Episode 144/2000 | Reward: -116.63 | Epsilon: 0.65
Episode 145/2000 | Reward: 184.75 | Epsilon: 0.65
Episode 146/2000 | Reward: -25.17 | Epsilon: 0.64
Episode 147/2000 | Reward: -49.22 | Epsilon: 0.64
Episode 148/2000 | Reward: 95.21 | Epsilon: 0.64
Episode 149/2000 | Reward: -35.06 | Epsilon: 0.64
Episode 150/2000 | Reward: -23.61 | Epsilon: 0.64
WARNING:absl:You are saving your model as an HDF5 file via `model.save()` or `keras.saving.save_model(model)`. This file format is considered legacy. We recommend using instead the native Keras format, e.g. `model.save('my_model.keras')` or `keras.saving.save_model(model, 'my_model.keras')`.     
Checkpoint saved to ddqn_speed_150.h5
Episode 151/2000 | Reward: 45.91 | Epsilon: 0.64
Episode 152/2000 | Reward: 114.90 | Epsilon: 0.63
Episode 153/2000 | Reward: -125.21 | Epsilon: 0.63
Episode 154/2000 | Reward: -90.84 | Epsilon: 0.63
Episode 155/2000 | Reward: -39.72 | Epsilon: 0.63
Episode 156/2000 | Reward: -98.84 | Epsilon: 0.63
Episode 157/2000 | Reward: -91.47 | Epsilon: 0.62
Episode 158/2000 | Reward: 177.07 | Epsilon: 0.62
Episode 159/2000 | Reward: -36.75 | Epsilon: 0.62
Episode 160/2000 | Reward: 109.49 | Epsilon: 0.62
Episode 161/2000 | Reward: -58.33 | Epsilon: 0.62
Episode 162/2000 | Reward: -94.28 | Epsilon: 0.61
Episode 163/2000 | Reward: -2.10 | Epsilon: 0.61
Episode 164/2000 | Reward: -75.09 | Epsilon: 0.61
Episode 165/2000 | Reward: -61.67 | Epsilon: 0.61
Episode 166/2000 | Reward: -128.28 | Epsilon: 0.61
Episode 167/2000 | Reward: -48.98 | Epsilon: 0.61
Episode 168/2000 | Reward: -4.26 | Epsilon: 0.60
Episode 169/2000 | Reward: -41.18 | Epsilon: 0.60
Episode 170/2000 | Reward: 42.35 | Epsilon: 0.60
Episode 171/2000 | Reward: 1.27 | Epsilon: 0.60
Episode 172/2000 | Reward: -62.69 | Epsilon: 0.60
Episode 173/2000 | Reward: -52.53 | Epsilon: 0.59
Episode 174/2000 | Reward: -42.45 | Epsilon: 0.59
Episode 175/2000 | Reward: -45.39 | Epsilon: 0.59
Episode 176/2000 | Reward: -19.09 | Epsilon: 0.59
Episode 177/2000 | Reward: -23.08 | Epsilon: 0.59
Episode 178/2000 | Reward: -56.83 | Epsilon: 0.59
Episode 179/2000 | Reward: -1.89 | Epsilon: 0.58
Episode 180/2000 | Reward: -25.68 | Epsilon: 0.58
Episode 181/2000 | Reward: -12.79 | Epsilon: 0.58
Episode 182/2000 | Reward: -35.37 | Epsilon: 0.58
Episode 183/2000 | Reward: -43.86 | Epsilon: 0.58
Episode 184/2000 | Reward: -73.42 | Epsilon: 0.58
Episode 185/2000 | Reward: -49.70 | Epsilon: 0.57
Episode 186/2000 | Reward: -51.22 | Epsilon: 0.57
Episode 187/2000 | Reward: -119.54 | Epsilon: 0.57
Episode 188/2000 | Reward: -41.18 | Epsilon: 0.57
Episode 189/2000 | Reward: -4.59 | Epsilon: 0.57
Episode 190/2000 | Reward: -33.09 | Epsilon: 0.57
Episode 191/2000 | Reward: -38.78 | Epsilon: 0.56
Episode 192/2000 | Reward: -30.80 | Epsilon: 0.56
Episode 193/2000 | Reward: -62.00 | Epsilon: 0.56
Episode 194/2000 | Reward: -116.20 | Epsilon: 0.56
Episode 195/2000 | Reward: -18.82 | Epsilon: 0.56
Episode 196/2000 | Reward: 23.67 | Epsilon: 0.55
Episode 197/2000 | Reward: -52.38 | Epsilon: 0.55
Episode 198/2000 | Reward: -52.10 | Epsilon: 0.55
Episode 199/2000 | Reward: 168.55 | Epsilon: 0.55
Episode 200/2000 | Reward: 90.79 | Epsilon: 0.55
WARNING:absl:You are saving your model as an HDF5 file via `model.save()` or `keras.saving.save_model(model)`. This file format is considered legacy. We recommend using instead the native Keras format, e.g. `model.save('my_model.keras')` or `keras.saving.save_model(model, 'my_model.keras')`.     
Checkpoint saved to ddqn_speed_200.h5
Episode 201/2000 | Reward: 17.45 | Epsilon: 0.55
Episode 202/2000 | Reward: -6.91 | Epsilon: 0.55
Episode 203/2000 | Reward: 9.89 | Epsilon: 0.54
Episode 204/2000 | Reward: -35.37 | Epsilon: 0.54
Episode 205/2000 | Reward: -134.67 | Epsilon: 0.54
Episode 206/2000 | Reward: 14.50 | Epsilon: 0.54
Episode 207/2000 | Reward: -112.77 | Epsilon: 0.54
Episode 208/2000 | Reward: -52.05 | Epsilon: 0.54
Episode 209/2000 | Reward: 25.46 | Epsilon: 0.53
Episode 210/2000 | Reward: -46.31 | Epsilon: 0.53
Episode 211/2000 | Reward: -56.38 | Epsilon: 0.53
Episode 212/2000 | Reward: 3.94 | Epsilon: 0.53
Episode 213/2000 | Reward: -58.90 | Epsilon: 0.53
Episode 214/2000 | Reward: -57.38 | Epsilon: 0.53
Episode 215/2000 | Reward: -35.81 | Epsilon: 0.52
Episode 216/2000 | Reward: -40.56 | Epsilon: 0.52
Episode 217/2000 | Reward: -29.89 | Epsilon: 0.52
Episode 218/2000 | Reward: 104.82 | Epsilon: 0.52
Episode 219/2000 | Reward: 67.27 | Epsilon: 0.52
Episode 220/2000 | Reward: -56.23 | Epsilon: 0.52
Episode 221/2000 | Reward: -40.14 | Epsilon: 0.51
Episode 222/2000 | Reward: -10.00 | Epsilon: 0.51
Episode 223/2000 | Reward: -11.03 | Epsilon: 0.51
Episode 224/2000 | Reward: 95.12 | Epsilon: 0.51
Episode 225/2000 | Reward: -54.27 | Epsilon: 0.51
Episode 226/2000 | Reward: -0.34 | Epsilon: 0.51
Episode 227/2000 | Reward: 41.89 | Epsilon: 0.51
Episode 228/2000 | Reward: -11.95 | Epsilon: 0.50
Episode 229/2000 | Reward: 132.42 | Epsilon: 0.50
Episode 230/2000 | Reward: 54.11 | Epsilon: 0.50
Episode 231/2000 | Reward: -1.02 | Epsilon: 0.50
Episode 232/2000 | Reward: -40.99 | Epsilon: 0.50
Episode 233/2000 | Reward: 186.21 | Epsilon: 0.50
Episode 234/2000 | Reward: -44.50 | Epsilon: 0.50
Episode 235/2000 | Reward: 48.70 | Epsilon: 0.49
Episode 236/2000 | Reward: -57.93 | Epsilon: 0.49
Episode 237/2000 | Reward: -32.48 | Epsilon: 0.49
Episode 238/2000 | Reward: -13.71 | Epsilon: 0.49
Episode 239/2000 | Reward: -27.80 | Epsilon: 0.49
Episode 240/2000 | Reward: 22.11 | Epsilon: 0.49
Episode 241/2000 | Reward: 76.47 | Epsilon: 0.48
Episode 242/2000 | Reward: -60.53 | Epsilon: 0.48
Episode 243/2000 | Reward: 90.08 | Epsilon: 0.48
Episode 244/2000 | Reward: 82.61 | Epsilon: 0.48
Episode 245/2000 | Reward: 31.58 | Epsilon: 0.48
Episode 246/2000 | Reward: 28.29 | Epsilon: 0.48
Episode 247/2000 | Reward: -61.54 | Epsilon: 0.48
Episode 248/2000 | Reward: -61.16 | Epsilon: 0.47
Episode 249/2000 | Reward: -40.30 | Epsilon: 0.47
Episode 250/2000 | Reward: -46.31 | Epsilon: 0.47
WARNING:absl:You are saving your model as an HDF5 file via `model.save()` or `keras.saving.save_model(model)`. This file format is considered legacy. We recommend using instead the native Keras format, e.g. `model.save('my_model.keras')` or `keras.saving.save_model(model, 'my_model.keras')`.     
Checkpoint saved to ddqn_speed_250.h5
Episode 251/2000 | Reward: -54.41 | Epsilon: 0.47
Episode 252/2000 | Reward: -41.58 | Epsilon: 0.47
Episode 253/2000 | Reward: -18.57 | Epsilon: 0.47
Episode 254/2000 | Reward: 126.48 | Epsilon: 0.47
Episode 255/2000 | Reward: -46.20 | Epsilon: 0.46
Episode 256/2000 | Reward: -135.32 | Epsilon: 0.46
Episode 257/2000 | Reward: 26.71 | Epsilon: 0.46
Episode 258/2000 | Reward: -1.89 | Epsilon: 0.46
Episode 259/2000 | Reward: 108.90 | Epsilon: 0.46
Episode 260/2000 | Reward: 118.24 | Epsilon: 0.46
Episode 261/2000 | Reward: 2.04 | Epsilon: 0.46
Episode 262/2000 | Reward: 49.64 | Epsilon: 0.46
Episode 263/2000 | Reward: 127.44 | Epsilon: 0.45
Episode 264/2000 | Reward: -26.06 | Epsilon: 0.45
Episode 265/2000 | Reward: -51.89 | Epsilon: 0.45
Episode 266/2000 | Reward: 58.67 | Epsilon: 0.45
Episode 267/2000 | Reward: 100.00 | Epsilon: 0.45
Episode 268/2000 | Reward: -17.47 | Epsilon: 0.45
Episode 269/2000 | Reward: 68.50 | Epsilon: 0.45
Episode 270/2000 | Reward: 35.46 | Epsilon: 0.44
Episode 271/2000 | Reward: 102.17 | Epsilon: 0.44
Episode 272/2000 | Reward: 88.93 | Epsilon: 0.44
Episode 273/2000 | Reward: -47.19 | Epsilon: 0.44
Episode 274/2000 | Reward: -53.56 | Epsilon: 0.44
Episode 275/2000 | Reward: -48.48 | Epsilon: 0.44
Episode 276/2000 | Reward: -97.09 | Epsilon: 0.44
Episode 277/2000 | Reward: 44.26 | Epsilon: 0.44
Episode 278/2000 | Reward: -45.76 | Epsilon: 0.43
Episode 279/2000 | Reward: 5.26 | Epsilon: 0.43
Episode 280/2000 | Reward: 18.08 | Epsilon: 0.43
Episode 281/2000 | Reward: -45.45 | Epsilon: 0.43
Episode 282/2000 | Reward: 64.91 | Epsilon: 0.43
Episode 283/2000 | Reward: 59.09 | Epsilon: 0.43
Episode 284/2000 | Reward: 3.34 | Epsilon: 0.43
Episode 285/2000 | Reward: 16.88 | Epsilon: 0.42
Episode 286/2000 | Reward: 3.94 | Epsilon: 0.42
Episode 287/2000 | Reward: -45.69 | Epsilon: 0.42
Episode 288/2000 | Reward: 47.16 | Epsilon: 0.42
Episode 289/2000 | Reward: -111.14 | Epsilon: 0.42
Episode 290/2000 | Reward: -24.40 | Epsilon: 0.42
Episode 291/2000 | Reward: 124.85 | Epsilon: 0.42
Episode 292/2000 | Reward: 38.98 | Epsilon: 0.42
Episode 293/2000 | Reward: 22.98 | Epsilon: 0.41
Episode 294/2000 | Reward: -62.03 | Epsilon: 0.41
Episode 295/2000 | Reward: 133.81 | Epsilon: 0.41
Episode 296/2000 | Reward: -3.01 | Epsilon: 0.41
Episode 297/2000 | Reward: 38.97 | Epsilon: 0.41
Episode 298/2000 | Reward: -29.58 | Epsilon: 0.41
Episode 299/2000 | Reward: -99.21 | Epsilon: 0.41
Episode 300/2000 | Reward: -44.60 | Epsilon: 0.41
WARNING:absl:You are saving your model as an HDF5 file via `model.save()` or `keras.saving.save_model(model)`. This file format is considered legacy. We recommend using instead the native Keras format, e.g. `model.save('my_model.keras')` or `keras.saving.save_model(model, 'my_model.keras')`.     
Checkpoint saved to ddqn_speed_300.h5
Episode 301/2000 | Reward: -34.04 | Epsilon: 0.40
Episode 302/2000 | Reward: 75.07 | Epsilon: 0.40
Episode 303/2000 | Reward: 85.43 | Epsilon: 0.40
Episode 304/2000 | Reward: 234.56 | Epsilon: 0.40
Episode 305/2000 | Reward: -19.19 | Epsilon: 0.40
Episode 306/2000 | Reward: 10.76 | Epsilon: 0.40
Episode 307/2000 | Reward: 44.65 | Epsilon: 0.40
Episode 308/2000 | Reward: 208.47 | Epsilon: 0.40
Episode 309/2000 | Reward: 196.30 | Epsilon: 0.40
Episode 310/2000 | Reward: 77.30 | Epsilon: 0.39
Episode 311/2000 | Reward: -67.39 | Epsilon: 0.39
Episode 312/2000 | Reward: 84.67 | Epsilon: 0.39
Episode 313/2000 | Reward: 40.07 | Epsilon: 0.39
Episode 314/2000 | Reward: -139.06 | Epsilon: 0.39
Episode 315/2000 | Reward: -31.03 | Epsilon: 0.39
Episode 316/2000 | Reward: 258.31 | Epsilon: 0.39
Episode 317/2000 | Reward: 196.55 | Epsilon: 0.39
Episode 318/2000 | Reward: -19.35 | Epsilon: 0.38
Episode 319/2000 | Reward: 33.12 | Epsilon: 0.38
Episode 320/2000 | Reward: 53.33 | Epsilon: 0.38
Episode 321/2000 | Reward: -50.18 | Epsilon: 0.38
Episode 322/2000 | Reward: 124.33 | Epsilon: 0.38
Episode 323/2000 | Reward: -26.15 | Epsilon: 0.38
Episode 324/2000 | Reward: -11.66 | Epsilon: 0.38
Episode 325/2000 | Reward: -72.66 | Epsilon: 0.38
Episode 326/2000 | Reward: -15.13 | Epsilon: 0.38
Episode 327/2000 | Reward: 159.14 | Epsilon: 0.37
Episode 328/2000 | Reward: -134.58 | Epsilon: 0.37
Episode 329/2000 | Reward: 8.30 | Epsilon: 0.37
Episode 330/2000 | Reward: -17.32 | Epsilon: 0.37
Episode 331/2000 | Reward: 46.34 | Epsilon: 0.37
Episode 332/2000 | Reward: 99.32 | Epsilon: 0.37
Episode 333/2000 | Reward: 122.22 | Epsilon: 0.37
Episode 334/2000 | Reward: 144.36 | Epsilon: 0.37
Episode 335/2000 | Reward: 123.83 | Epsilon: 0.37
Episode 336/2000 | Reward: -32.75 | Epsilon: 0.36
Episode 337/2000 | Reward: 174.85 | Epsilon: 0.36
Episode 338/2000 | Reward: -38.63 | Epsilon: 0.36
Episode 339/2000 | Reward: -103.95 | Epsilon: 0.36
Episode 340/2000 | Reward: -20.69 | Epsilon: 0.36
Episode 341/2000 | Reward: -24.81 | Epsilon: 0.36
Episode 342/2000 | Reward: 39.07 | Epsilon: 0.36
Episode 343/2000 | Reward: 1.85 | Epsilon: 0.36
Episode 344/2000 | Reward: -35.58 | Epsilon: 0.36
Episode 345/2000 | Reward: -54.95 | Epsilon: 0.35
Episode 346/2000 | Reward: -12.34 | Epsilon: 0.35
Episode 347/2000 | Reward: -20.58 | Epsilon: 0.35
Episode 348/2000 | Reward: -11.03 | Epsilon: 0.35
Episode 349/2000 | Reward: 154.36 | Epsilon: 0.35
Episode 350/2000 | Reward: -41.34 | Epsilon: 0.35
WARNING:absl:You are saving your model as an HDF5 file via `model.save()` or `keras.saving.save_model(model)`. This file format is considered legacy. We recommend using instead the native Keras format, e.g. `model.save('my_model.keras')` or `keras.saving.save_model(model, 'my_model.keras')`.     
Checkpoint saved to ddqn_speed_350.h5
Episode 351/2000 | Reward: -48.34 | Epsilon: 0.35
Episode 352/2000 | Reward: -106.34 | Epsilon: 0.35
Episode 353/2000 | Reward: -21.23 | Epsilon: 0.35
Episode 354/2000 | Reward: 116.61 | Epsilon: 0.35
Episode 355/2000 | Reward: -31.03 | Epsilon: 0.34
Episode 356/2000 | Reward: -84.18 | Epsilon: 0.34
Episode 357/2000 | Reward: 36.51 | Epsilon: 0.34
Episode 358/2000 | Reward: 132.42 | Epsilon: 0.34
Episode 359/2000 | Reward: -39.68 | Epsilon: 0.34
Episode 360/2000 | Reward: -33.59 | Epsilon: 0.34
Episode 361/2000 | Reward: -24.60 | Epsilon: 0.34
Episode 362/2000 | Reward: 45.63 | Epsilon: 0.34
Episode 363/2000 | Reward: -28.73 | Epsilon: 0.34
Episode 364/2000 | Reward: 52.78 | Epsilon: 0.33
Episode 365/2000 | Reward: 254.39 | Epsilon: 0.33
Episode 366/2000 | Reward: -33.33 | Epsilon: 0.33
Episode 367/2000 | Reward: 91.69 | Epsilon: 0.33
Episode 368/2000 | Reward: -26.05 | Epsilon: 0.33
Episode 369/2000 | Reward: 101.28 | Epsilon: 0.33
Episode 370/2000 | Reward: 96.23 | Epsilon: 0.33
Episode 371/2000 | Reward: 120.34 | Epsilon: 0.33
Episode 372/2000 | Reward: -84.79 | Epsilon: 0.33
Episode 373/2000 | Reward: 157.84 | Epsilon: 0.33
Episode 374/2000 | Reward: -45.86 | Epsilon: 0.33
Episode 375/2000 | Reward: 7.27 | Epsilon: 0.32
Episode 376/2000 | Reward: -46.62 | Epsilon: 0.32
Episode 377/2000 | Reward: -65.63 | Epsilon: 0.32
Episode 378/2000 | Reward: -120.35 | Epsilon: 0.32
Episode 379/2000 | Reward: 31.94 | Epsilon: 0.32
Episode 380/2000 | Reward: -4.94 | Epsilon: 0.32
Episode 381/2000 | Reward: 148.37 | Epsilon: 0.32
Episode 382/2000 | Reward: 92.07 | Epsilon: 0.32
Episode 383/2000 | Reward: 52.67 | Epsilon: 0.32
Episode 384/2000 | Reward: 81.51 | Epsilon: 0.32
Episode 385/2000 | Reward: 3.08 | Epsilon: 0.31
Episode 386/2000 | Reward: 23.42 | Epsilon: 0.31
Episode 387/2000 | Reward: 138.10 | Epsilon: 0.31
Episode 388/2000 | Reward: 146.01 | Epsilon: 0.31
Episode 389/2000 | Reward: 21.21 | Epsilon: 0.31
Episode 390/2000 | Reward: -54.40 | Epsilon: 0.31
Episode 391/2000 | Reward: 108.33 | Epsilon: 0.31
Episode 392/2000 | Reward: -9.04 | Epsilon: 0.31
Episode 393/2000 | Reward: 87.07 | Epsilon: 0.31
Episode 394/2000 | Reward: -61.66 | Epsilon: 0.31
Episode 395/2000 | Reward: -41.18 | Epsilon: 0.31
Episode 396/2000 | Reward: 117.24 | Epsilon: 0.30
Episode 397/2000 | Reward: 337.93 | Epsilon: 0.30
Episode 398/2000 | Reward: -47.88 | Epsilon: 0.30
Episode 399/2000 | Reward: 4.43 | Epsilon: 0.30
Episode 400/2000 | Reward: 250.55 | Epsilon: 0.30
WARNING:absl:You are saving your model as an HDF5 file via `model.save()` or `keras.saving.save_model(model)`. This file format is considered legacy. We recommend using instead the native Keras format, e.g. `model.save('my_model.keras')` or `keras.saving.save_model(model, 'my_model.keras')`.     
Checkpoint saved to ddqn_speed_400.h5
Episode 401/2000 | Reward: 92.16 | Epsilon: 0.30
Episode 402/2000 | Reward: -27.15 | Epsilon: 0.30
Episode 403/2000 | Reward: 113.11 | Epsilon: 0.30
Episode 404/2000 | Reward: -32.91 | Epsilon: 0.30
Episode 405/2000 | Reward: 235.85 | Epsilon: 0.30
Episode 406/2000 | Reward: 243.95 | Epsilon: 0.30
Episode 407/2000 | Reward: -48.70 | Epsilon: 0.29
Episode 408/2000 | Reward: 67.30 | Epsilon: 0.29
Episode 409/2000 | Reward: 124.81 | Epsilon: 0.29
Episode 410/2000 | Reward: -33.14 | Epsilon: 0.29
Episode 411/2000 | Reward: 71.76 | Epsilon: 0.29
Episode 412/2000 | Reward: 36.20 | Epsilon: 0.29
Episode 413/2000 | Reward: -42.86 | Epsilon: 0.29
Episode 414/2000 | Reward: 236.45 | Epsilon: 0.29
Episode 415/2000 | Reward: 176.35 | Epsilon: 0.29
